,Comunidad/Provincia,Total,Personas Físicas SIN actividad empresarial,Personas Físicas CON actividad empresarial,Unnamed: 4,S. Limitadas,S. Anónimas,S.Otras,Filename,Personas Físicas,Unnamed: 3
0,Andalucía,319,152.0,47.0,,114,5,1,2021_1T.xlsx,,
1,Almería,22,10.0,4.0,,8,0,0,2021_1T.xlsx,,
2,Cádiz,38,23.0,4.0,,11,0,0,2021_1T.xlsx,,
3,Córdoba,27,9.0,6.0,,10,2,0,2021_1T.xlsx,,
4,Granada,23,14.0,3.0,,6,0,0,2021_1T.xlsx,,
5,Huelva,12,8.0,0.0,,3,0,1,2021_1T.xlsx,,
6,Jaén,20,8.0,5.0,,7,0,0,2021_1T.xlsx,,
7,Málaga,59,17.0,4.0,,37,1,0,2021_1T.xlsx,,
8,Sevilla,118,63.0,21.0,,32,2,0,2021_1T.xlsx,,
9,Aragón,158,98.0,4.0,,51,4,1,2021_1T.xlsx,,
10,Huesca,27,18.0,0.0,,9,0,0,2021_1T.xlsx,,
11,Teruel,10,6.0,0.0,,4,0,0,2021_1T.xlsx,,
12,Zaragoza,121,74.0,4.0,,38,4,1,2021_1T.xlsx,,
13,Asturias,102,49.0,25.0,,24,2,2,2021_1T.xlsx,,
14,"Balears, Illes",87,33.0,5.0,,47,2,0,2021_1T.xlsx,,
15,Canarias,129,76.0,15.0,,34,4,0,2021_1T.xlsx,,
16,Las Palmas de Gran Canaria,79,42.0,8.0,,26,3,0,2021_1T.xlsx,,
17,Santa Cruz de Tenerife,50,34.0,7.0,,8,1,0,2021_1T.xlsx,,
18,Cantabria,15,2.0,2.0,,11,0,0,2021_1T.xlsx,,
19,Castilla y León,118,69.0,8.0,,38,3,0,2021_1T.xlsx,,
20,Ávila,11,7.0,0.0,,3,1,0,2021_1T.xlsx,,
21,Burgos,9,6.0,0.0,,2,1,0,2021_1T.xlsx,,
22,León,19,12.0,0.0,,7,0,0,2021_1T.xlsx,,
23,Palencia,2,0.0,0.0,,2,0,0,2021_1T.xlsx,,
24,Salamanca,24,18.0,0.0,,5,1,0,2021_1T.xlsx,,
25,Segovia,10,6.0,1.0,,3,0,0,2021_1T.xlsx,,
26,Soria,7,4.0,0.0,,3,0,0,2021_1T.xlsx,,
27,Valladolid,33,16.0,7.0,,10,0,0,2021_1T.xlsx,,
28,Zamora,3,0.0,0.0,,3,0,0,2021_1T.xlsx,,
29,Castilla-La Mancha,97,62.0,0.0,,33,1,1,2021_1T.xlsx,,
30,Albacete,19,7.0,0.0,,11,0,1,2021_1T.xlsx,,
31,Ciudad Real,10,7.0,0.0,,3,0,0,2021_1T.xlsx,,
32,Cuenca,4,2.0,0.0,,1,1,0,2021_1T.xlsx,,
33,Guadalajara,34,31.0,0.0,,3,0,0,2021_1T.xlsx,,
34,Toledo,30,15.0,0.0,,15,0,0,2021_1T.xlsx,,
35,Cataluña,1156,396.0,359.0,,368,29,4,2021_1T.xlsx,,
36,Barcelona,967,285.0,327.0,,323,29,3,2021_1T.xlsx,,
37,Girona,70,23.0,25.0,,22,0,0,2021_1T.xlsx,,
38,Lleida,52,45.0,1.0,,6,0,0,2021_1T.xlsx,,
39,Tarragona,67,43.0,6.0,,17,0,1,2021_1T.xlsx,,
40,Comunitat Valenciana,468,188.0,53.0,,211,6,10,2021_1T.xlsx,,
41,Alicante,138,46.0,28.0,,61,1,2,2021_1T.xlsx,,
42,Castellón,39,12.0,9.0,,18,0,0,2021_1T.xlsx,,
43,Valencia,291,130.0,16.0,,132,5,8,2021_1T.xlsx,,
44,Extremadura,18,8.0,0.0,,8,1,1,2021_1T.xlsx,,
45,Badajoz,12,4.0,0.0,,6,1,1,2021_1T.xlsx,,
46,Cáceres,6,4.0,0.0,,2,0,0,2021_1T.xlsx,,
47,Galicia,123,49.0,17.0,,55,1,1,2021_1T.xlsx,,
48,A Coruña,54,22.0,8.0,,24,0,0,2021_1T.xlsx,,
49,Lugo,23,11.0,0.0,,11,0,1,2021_1T.xlsx,,
50,Ourense,5,1.0,0.0,,4,0,0,2021_1T.xlsx,,
51,Pontevedra,41,15.0,9.0,,16,1,0,2021_1T.xlsx,,
52,Madrid,472,156.0,46.0,,228,35,7,2021_1T.xlsx,,
53,Murcia,65,34.0,11.0,,18,0,2,2021_1T.xlsx,,
54,Navarra,18,8.0,4.0,,6,0,0,2021_1T.xlsx,,
55,Pais Vasco,140,29.0,16.0,,85,6,4,2021_1T.xlsx,,
56,Araba/Álava,14,7.0,0.0,,6,0,1,2021_1T.xlsx,,
