,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename
0,fisica,Andalucía,199,22,0,177,,177,4,18,2021_1T.xlsx
1,fisica,Almería,14,1,0,13,,13,0,1,2021_1T.xlsx
2,fisica,Cádiz,27,4,0,23,,23,1,3,2021_1T.xlsx
3,fisica,Córdoba,15,5,0,10,,11,0,4,2021_1T.xlsx
4,fisica,Granada,17,1,0,16,,14,1,2,2021_1T.xlsx
5,fisica,Huelva,8,1,0,7,,8,0,0,2021_1T.xlsx
6,fisica,Jaén,13,1,0,12,,12,0,1,2021_1T.xlsx
7,fisica,Málaga,21,6,0,15,,19,0,2,2021_1T.xlsx
8,fisica,Sevilla,84,3,0,81,,77,2,5,2021_1T.xlsx
9,fisica,Aragón,102,20,0,82,,77,0,25,2021_1T.xlsx
10,fisica,Huesca,18,9,0,9,,13,0,5,2021_1T.xlsx
11,fisica,Teruel,6,3,0,3,,6,0,0,2021_1T.xlsx
12,fisica,Zaragoza,78,8,0,70,,58,0,20,2021_1T.xlsx
13,fisica,Asturias,74,22,5,47,,55,0,19,2021_1T.xlsx
14,fisica,"Balears, Illes",38,12,0,26,,36,1,1,2021_1T.xlsx
15,fisica,Canarias,91,23,0,68,,75,2,14,2021_1T.xlsx
16,fisica,Las Palmas de Gran Canaria,50,16,0,34,,39,0,11,2021_1T.xlsx
17,fisica,Santa Cruz de Tenerife,41,7,0,34,,36,2,3,2021_1T.xlsx
18,fisica,Cantabria,4,4,0,0,,4,0,0,2021_1T.xlsx
19,fisica,Castilla y León,77,24,0,53,,58,1,18,2021_1T.xlsx
20,fisica,Ávila,7,1,0,6,,3,0,4,2021_1T.xlsx
21,fisica,Burgos,6,0,0,6,,6,0,0,2021_1T.xlsx
22,fisica,León,12,3,0,9,,12,0,0,2021_1T.xlsx
23,fisica,Palencia,0,0,0,0,,0,0,0,2021_1T.xlsx
24,fisica,Salamanca,18,5,0,13,,13,0,5,2021_1T.xlsx
25,fisica,Segovia,7,2,0,5,,7,0,0,2021_1T.xlsx
26,fisica,Soria,4,0,0,4,,4,0,0,2021_1T.xlsx
27,fisica,Valladolid,23,13,0,10,,13,1,9,2021_1T.xlsx
28,fisica,Zamora,0,0,0,0,,0,0,0,2021_1T.xlsx
29,fisica,Castilla-La Mancha,62,18,0,44,,33,0,29,2021_1T.xlsx
30,fisica,Albacete,7,3,0,4,,5,0,2,2021_1T.xlsx
31,fisica,Ciudad Real,7,5,0,2,,0,0,7,2021_1T.xlsx
32,fisica,Cuenca,2,0,0,2,,0,0,2,2021_1T.xlsx
33,fisica,Guadalajara,31,3,0,28,,17,0,14,2021_1T.xlsx
34,fisica,Toledo,15,7,0,8,,11,0,4,2021_1T.xlsx
35,fisica,Cataluña,755,49,0,706,,737,6,12,2021_1T.xlsx
36,fisica,Barcelona,612,38,0,574,,603,4,5,2021_1T.xlsx
37,fisica,Girona,48,1,0,47,,45,0,3,2021_1T.xlsx
38,fisica,Lleida,46,7,0,39,,44,0,2,2021_1T.xlsx
39,fisica,Tarragona,49,3,0,46,,45,2,2,2021_1T.xlsx
40,fisica,Comunitat Valenciana,241,108,0,133,,217,4,20,2021_1T.xlsx
41,fisica,Alicante,74,24,0,50,,59,0,15,2021_1T.xlsx
42,fisica,Castellón,21,15,0,6,,19,2,0,2021_1T.xlsx
43,fisica,Valencia,146,69,0,77,,139,2,5,2021_1T.xlsx
44,fisica,Extremadura,8,3,0,5,,5,0,3,2021_1T.xlsx
45,fisica,Badajoz,4,0,0,4,,2,0,2,2021_1T.xlsx
46,fisica,Cáceres,4,3,0,1,,3,0,1,2021_1T.xlsx
47,fisica,Galicia,66,23,0,43,,53,0,13,2021_1T.xlsx
48,fisica,A Coruña,30,10,0,20,,21,0,9,2021_1T.xlsx
49,fisica,Lugo,11,1,0,10,,11,0,0,2021_1T.xlsx
50,fisica,Ourense,1,1,0,0,,1,0,0,2021_1T.xlsx
51,fisica,Pontevedra,24,11,0,13,,20,0,4,2021_1T.xlsx
52,fisica,Madrid,202,16,0,186,,161,3,38,2021_1T.xlsx
53,fisica,Murcia,45,9,1,35,,45,0,0,2021_1T.xlsx
54,fisica,Navarra,12,4,0,8,,11,0,1,2021_1T.xlsx
55,fisica,Pais Vasco,45,30,0,15,,29,0,16,2021_1T.xlsx
56,fisica,Araba/Álava,7,5,0,2,,7,0,0,2021_1T.xlsx
57,fisica,Bizkaia,21,16,0,5,,10,0,11,2021_1T.xlsx
58,fisica,Gipuzkoa,17,9,0,8,,12,0,5,2021_1T.xlsx
59,fisica,La Rioja,13,0,0,13,,4,0,9,2021_1T.xlsx
60,fisica,Ceuta y Melilla,6,4,1,1,,3,0,3,2021_1T.xlsx
61,fisica,Ceuta,5,3,1,1,,2,0,3,2021_1T.xlsx
62,fisica,Melilla,1,1,0,0,,1,0,0,2021_1T.xlsx
63,empresas,Andalucía,120,119,1,0,,43,36,41,2021_1T.xlsx
64,empresas,Almería,8,8,0,0,,0,5,3,2021_1T.xlsx
65,empresas,Cádiz,11,11,0,0,,5,0,6,2021_1T.xlsx
66,empresas,Córdoba,12,12,0,0,,1,2,9,2021_1T.xlsx
67,empresas,Granada,6,6,0,0,,3,1,2,2021_1T.xlsx
68,empresas,Huelva,4,4,0,0,,2,0,2,2021_1T.xlsx
69,empresas,Jaén,7,7,0,0,,6,1,0,2021_1T.xlsx
70,empresas,Málaga,38,37,1,0,,5,23,10,2021_1T.xlsx
71,empresas,Sevilla,34,34,0,0,,21,4,9,2021_1T.xlsx
72,empresas,Aragón,56,56,0,0,,22,7,27,2021_1T.xlsx
73,empresas,Huesca,9,9,0,0,,4,5,0,2021_1T.xlsx
74,empresas,Teruel,4,4,0,0,,3,0,1,2021_1T.xlsx
75,empresas,Zaragoza,43,43,0,0,,15,2,26,2021_1T.xlsx
76,empresas,Asturias,28,27,0,1,,9,1,18,2021_1T.xlsx
77,empresas,"Balears, Illes",49,48,1,0,,34,2,13,2021_1T.xlsx
78,empresas,Canarias,38,37,1,0,,13,4,21,2021_1T.xlsx
79,empresas,Las Palmas de Gran Canaria,29,28,1,0,,11,3,15,2021_1T.xlsx
80,empresas,Santa Cruz de Tenerife,9,9,0,0,,2,1,6,2021_1T.xlsx
81,empresas,Cantabria,11,11,0,0,,4,0,7,2021_1T.xlsx
82,empresas,Castilla y León,41,36,0,5,,13,5,23,2021_1T.xlsx
83,empresas,Ávila,4,4,0,0,,1,3,0,2021_1T.xlsx
84,empresas,Burgos,3,3,0,0,,1,0,2,2021_1T.xlsx
85,empresas,León,7,4,0,3,,3,0,4,2021_1T.xlsx
86,empresas,Palencia,2,2,0,0,,0,0,2,2021_1T.xlsx
87,empresas,Salamanca,6,6,0,0,,1,1,4,2021_1T.xlsx
88,empresas,Segovia,3,3,0,0,,0,0,3,2021_1T.xlsx
89,empresas,Soria,3,1,0,2,,3,0,0,2021_1T.xlsx
90,empresas,Valladolid,10,10,0,0,,1,1,8,2021_1T.xlsx
91,empresas,Zamora,3,3,0,0,,3,0,0,2021_1T.xlsx
92,empresas,Castilla-La Mancha,35,33,0,2,,13,0,22,2021_1T.xlsx
93,empresas,Albacete,12,12,0,0,,2,0,10,2021_1T.xlsx
94,empresas,Ciudad Real,3,3,0,0,,1,0,2,2021_1T.xlsx
95,empresas,Cuenca,2,2,0,0,,0,0,2,2021_1T.xlsx
96,empresas,Guadalajara,3,3,0,0,,1,0,2,2021_1T.xlsx
97,empresas,Toledo,15,13,0,2,,9,0,6,2021_1T.xlsx
98,empresas,Cataluña,401,391,6,4,,165,3,233,2021_1T.xlsx
99,empresas,Barcelona,355,346,5,4,,141,2,212,2021_1T.xlsx
100,empresas,Girona,22,22,0,0,,9,0,13,2021_1T.xlsx
101,empresas,Lleida,6,6,0,0,,2,1,3,2021_1T.xlsx
102,empresas,Tarragona,18,17,1,0,,13,0,5,2021_1T.xlsx
103,empresas,Comunitat Valenciana,227,225,0,2,,51,19,157,2021_1T.xlsx
104,empresas,Alicante,64,64,0,0,,16,14,34,2021_1T.xlsx
105,empresas,Castellón,18,16,0,2,,8,3,7,2021_1T.xlsx
106,empresas,Valencia,145,145,0,0,,27,2,116,2021_1T.xlsx
107,empresas,Extremadura,10,10,0,0,,6,0,4,2021_1T.xlsx
108,empresas,Badajoz,8,8,0,0,,5,0,3,2021_1T.xlsx
109,empresas,Cáceres,2,2,0,0,,1,0,1,2021_1T.xlsx
110,empresas,Galicia,57,57,0,0,,45,0,12,2021_1T.xlsx
111,empresas,A Coruña,24,24,0,0,,14,0,10,2021_1T.xlsx
112,empresas,Lugo,12,12,0,0,,12,0,0,2021_1T.xlsx
113,empresas,Ourense,4,4,0,0,,4,0,0,2021_1T.xlsx
114,empresas,Pontevedra,17,17,0,0,,15,0,2,2021_1T.xlsx
115,empresas,Madrid,270,258,8,4,,67,26,177,2021_1T.xlsx
116,empresas,Murcia,20,20,0,0,,17,0,3,2021_1T.xlsx
117,empresas,Navarra,6,6,0,0,,4,0,2,2021_1T.xlsx
118,empresas,Pais Vasco,95,95,0,0,,30,4,61,2021_1T.xlsx
119,empresas,Araba/Álava,7,7,0,0,,3,1,3,2021_1T.xlsx
120,empresas,Bizkaia,64,64,0,0,,21,2,41,2021_1T.xlsx
121,empresas,Gipuzkoa,24,24,0,0,,6,1,17,2021_1T.xlsx
122,,La Rioja,5,5,0,0,,3,0,2,2021_1T.xlsx
123,,Ceuta y Melilla,1,1,0,0,,1,0,0,2021_1T.xlsx
124,fisica,Andalucía,200,27,0,173,,179,3,18,2021_2T.xlsx
125,fisica,Almería,21,0,0,21,,20,0,1,2021_2T.xlsx
126,fisica,Cádiz,8,0,0,8,,7,0,1,2021_2T.xlsx
127,fisica,Córdoba,15,0,0,15,,11,0,4,2021_2T.xlsx
128,fisica,Granada,22,5,0,17,,18,3,1,2021_2T.xlsx
129,fisica,Huelva,12,0,0,12,,12,0,0,2021_2T.xlsx
130,fisica,Jaén,9,4,0,5,,8,0,1,2021_2T.xlsx
131,fisica,Málaga,39,4,0,35,,36,0,3,2021_2T.xlsx
132,fisica,Sevilla,74,14,0,60,,67,0,7,2021_2T.xlsx
133,fisica,Aragón,79,5,1,73,,52,0,27,2021_2T.xlsx
134,fisica,Huesca,2,1,0,1,,1,0,1,2021_2T.xlsx
135,fisica,Teruel,6,1,0,5,,5,0,1,2021_2T.xlsx
136,fisica,Zaragoza,71,3,1,67,,46,0,25,2021_2T.xlsx
137,fisica,Asturias,68,26,4,38,,46,0,22,2021_2T.xlsx
138,fisica,"Balears, Illes",41,23,0,18,,41,0,0,2021_2T.xlsx
139,fisica,Canarias,77,16,0,61,,63,1,13,2021_2T.xlsx
140,fisica,Las Palmas de Gran Canaria,49,7,0,42,,37,0,12,2021_2T.xlsx
141,fisica,Santa Cruz de Tenerife,28,9,0,19,,26,1,1,2021_2T.xlsx
142,fisica,Cantabria,6,6,0,0,,6,0,0,2021_2T.xlsx
143,fisica,Castilla y León,71,24,0,47,,58,0,13,2021_2T.xlsx
