Unnamed: 0,PJ,Comunidad/Provincia,Total,T_Voluntario,T_Necesario,T_Consecutivo,Unnamed: 6,C_Ordinario,C_Especial,C_Sin Masa,Filename,prov_limpia,comunidad_autonoma_manual
0,fisica,Andalucía,199,22,0,177,,177,4,18,2021_1T.xlsx,andalucia,
1,fisica,Almería,14,1,0,13,,13,0,1,2021_1T.xlsx,almeria,Andalucia
2,fisica,Cádiz,27,4,0,23,,23,1,3,2021_1T.xlsx,cadiz,Andalucia
3,fisica,Córdoba,15,5,0,10,,11,0,4,2021_1T.xlsx,cordoba,Andalucia
4,fisica,Granada,17,1,0,16,,14,1,2,2021_1T.xlsx,granada,Andalucia
5,fisica,Huelva,8,1,0,7,,8,0,0,2021_1T.xlsx,huelva,Andalucia
6,fisica,Jaén,13,1,0,12,,12,0,1,2021_1T.xlsx,jaen,Andalucia
7,fisica,Málaga,21,6,0,15,,19,0,2,2021_1T.xlsx,malaga,Andalucia
8,fisica,Sevilla,84,3,0,81,,77,2,5,2021_1T.xlsx,sevilla,Andalucia
9,fisica,Aragón,102,20,0,82,,77,0,25,2021_1T.xlsx,aragon,
10,fisica,Huesca,18,9,0,9,,13,0,5,2021_1T.xlsx,huesca,Aragon
11,fisica,Teruel,6,3,0,3,,6,0,0,2021_1T.xlsx,teruel,Aragon
12,fisica,Zaragoza,78,8,0,70,,58,0,20,2021_1T.xlsx,zaragoza,Aragon
13,fisica,Asturias,74,22,5,47,,55,0,19,2021_1T.xlsx,asturias,Asturias
14,fisica,"Balears, Illes",38,12,0,26,,36,1,1,2021_1T.xlsx,balears illes,Baleares
15,fisica,Canarias,91,23,0,68,,75,2,14,2021_1T.xlsx,canarias,
16,fisica,Las Palmas de Gran Canaria,50,16,0,34,,39,0,11,2021_1T.xlsx,las palmas de gran canaria,
17,fisica,Santa Cruz de Tenerife,41,7,0,34,,36,2,3,2021_1T.xlsx,santa cruz de tenerife,Canarias
18,fisica,Cantabria,4,4,0,0,,4,0,0,2021_1T.xlsx,cantabria,Cantabria
19,fisica,Castilla y León,77,24,0,53,,58,1,18,2021_1T.xlsx,castilla y leon,
20,fisica,Ávila,7,1,0,6,,3,0,4,2021_1T.xlsx,avila,Castilla y Leon
21,fisica,Burgos,6,0,0,6,,6,0,0,2021_1T.xlsx,burgos,Castilla y Leon
22,fisica,León,12,3,0,9,,12,0,0,2021_1T.xlsx,leon,Castilla y Leon
23,fisica,Palencia,0,0,0,0,,0,0,0,2021_1T.xlsx,palencia,Castilla y Leon
24,fisica,Salamanca,18,5,0,13,,13,0,5,2021_1T.xlsx,salamanca,Castilla y Leon
25,fisica,Segovia,7,2,0,5,,7,0,0,2021_1T.xlsx,segovia,Castilla y Leon
26,fisica,Soria,4,0,0,4,,4,0,0,2021_1T.xlsx,soria,Castilla y Leon
27,fisica,Valladolid,23,13,0,10,,13,1,9,2021_1T.xlsx,valladolid,Castilla y Leon
28,fisica,Zamora,0,0,0,0,,0,0,0,2021_1T.xlsx,zamora,Castilla y Leon
29,fisica,Castilla-La Mancha,62,18,0,44,,33,0,29,2021_1T.xlsx,castilla la mancha,
30,fisica,Albacete,7,3,0,4,,5,0,2,2021_1T.xlsx,albacete,Castilla La Mancha
31,fisica,Ciudad Real,7,5,0,2,,0,0,7,2021_1T.xlsx,ciudad real,Castilla La Mancha
32,fisica,Cuenca,2,0,0,2,,0,0,2,2021_1T.xlsx,cuenca,Castilla La Mancha
33,fisica,Guadalajara,31,3,0,28,,17,0,14,2021_1T.xlsx,guadalajara,Castilla La Mancha
34,fisica,Toledo,15,7,0,8,,11,0,4,2021_1T.xlsx,toledo,Castilla La Mancha
35,fisica,Cataluña,755,49,0,706,,737,6,12,2021_1T.xlsx,cataluna,
36,fisica,Barcelona,612,38,0,574,,603,4,5,2021_1T.xlsx,barcelona,Cataluña
37,fisica,Girona,48,1,0,47,,45,0,3,2021_1T.xlsx,girona,Cataluña
38,fisica,Lleida,46,7,0,39,,44,0,2,2021_1T.xlsx,lleida,Cataluña
39,fisica,Tarragona,49,3,0,46,,45,2,2,2021_1T.xlsx,tarragona,Cataluña
40,fisica,Comunitat Valenciana,241,108,0,133,,217,4,20,2021_1T.xlsx,comunitat valenciana,
