,Comunidad/Provincia,Total,NA0,NA1-2,NA3-5,NA6-9,NA10-19,NA20-49,NA50-99,NA100 o más,SD,Filename
0,Andalucía,120,16,15,19,17,13,2,5,0,33,2021_1T.xlsx
1,Almería,8,1,2,2,0,0,0,1,0,2,2021_1T.xlsx
2,Cádiz,11,1,0,1,1,2,0,0,0,6,2021_1T.xlsx
3,Córdoba,12,2,0,3,1,1,0,2,0,3,2021_1T.xlsx
4,Granada,6,0,1,3,0,2,0,0,0,0,2021_1T.xlsx
5,Huelva,4,0,1,1,1,0,0,1,0,0,2021_1T.xlsx
6,Jaén,7,0,2,0,2,0,0,0,0,3,2021_1T.xlsx
7,Málaga,38,9,3,4,9,7,0,1,0,5,2021_1T.xlsx
8,Sevilla,34,3,6,5,3,1,2,0,0,14,2021_1T.xlsx
9,Aragón,56,7,9,5,10,5,1,3,0,16,2021_1T.xlsx
10,Huesca,9,1,1,1,0,0,1,0,0,5,2021_1T.xlsx
11,Teruel,4,0,1,1,0,0,0,0,0,2,2021_1T.xlsx
12,Zaragoza,43,6,7,3,10,5,0,3,0,9,2021_1T.xlsx
13,Asturias,28,2,4,9,5,1,2,0,0,5,2021_1T.xlsx
14,"Balears, Illes",49,9,2,10,10,4,2,0,0,12,2021_1T.xlsx
15,Canarias,38,2,5,7,3,9,0,1,0,11,2021_1T.xlsx
16,Las Palmas de Gran Canaria,29,1,3,6,3,7,0,1,0,8,2021_1T.xlsx
17,Santa Cruz de Tenerife,9,1,2,1,0,2,0,0,0,3,2021_1T.xlsx
18,Cantabria,11,1,5,0,0,2,0,0,0,3,2021_1T.xlsx
19,Castilla y León,41,3,8,11,7,3,0,0,0,9,2021_1T.xlsx
20,Ávila,4,2,0,1,0,0,0,0,0,1,2021_1T.xlsx
21,Burgos,3,0,0,1,2,0,0,0,0,0,2021_1T.xlsx
22,León,7,0,1,3,1,0,0,0,0,2,2021_1T.xlsx
23,Palencia,2,0,0,1,0,1,0,0,0,0,2021_1T.xlsx
24,Salamanca,6,0,1,2,0,2,0,0,0,1,2021_1T.xlsx
25,Segovia,3,1,0,1,0,0,0,0,0,1,2021_1T.xlsx
26,Soria,3,0,1,0,0,0,0,0,0,2,2021_1T.xlsx
27,Valladolid,10,0,5,1,3,0,0,0,0,1,2021_1T.xlsx
28,Zamora,3,0,0,1,1,0,0,0,0,1,2021_1T.xlsx
29,Castilla-La Mancha,35,7,3,4,2,2,5,2,0,10,2021_1T.xlsx
30,Albacete,12,3,0,3,1,0,2,0,0,3,2021_1T.xlsx
31,Ciudad Real,3,0,1,0,0,0,0,1,0,1,2021_1T.xlsx
32,Cuenca,2,1,0,0,0,0,0,0,0,1,2021_1T.xlsx
33,Guadalajara,3,1,0,1,0,0,0,0,0,1,2021_1T.xlsx
34,Toledo,15,2,2,0,1,2,3,1,0,4,2021_1T.xlsx
35,Cataluña,401,46,49,58,40,38,15,3,1,151,2021_1T.xlsx
36,Barcelona,355,43,42,50,36,31,13,3,1,136,2021_1T.xlsx
37,Girona,22,0,5,4,1,5,1,0,0,6,2021_1T.xlsx
38,Lleida,6,1,0,0,3,1,0,0,0,1,2021_1T.xlsx
39,Tarragona,18,2,2,4,0,1,1,0,0,8,2021_1T.xlsx
40,Comunitat Valenciana,227,26,28,38,33,24,15,2,2,59,2021_1T.xlsx
41,Alicante,64,4,14,13,5,11,8,0,0,9,2021_1T.xlsx
42,Castellón,18,4,1,4,2,0,1,1,1,4,2021_1T.xlsx
43,Valencia,145,18,13,21,26,13,6,1,1,46,2021_1T.xlsx
44,Extremadura,10,2,1,0,1,1,0,0,0,5,2021_1T.xlsx
45,Badajoz,8,1,1,0,1,1,0,0,0,4,2021_1T.xlsx
46,Cáceres,2,1,0,0,0,0,0,0,0,1,2021_1T.xlsx
47,Galicia,57,10,7,12,5,8,4,1,0,10,2021_1T.xlsx
48,A Coruña,24,3,4,4,3,3,3,1,0,3,2021_1T.xlsx
49,Lugo,12,2,1,2,2,1,0,0,0,4,2021_1T.xlsx
50,Ourense,4,0,1,2,0,0,0,0,0,1,2021_1T.xlsx
51,Pontevedra,17,5,1,4,0,4,1,0,0,2,2021_1T.xlsx
52,Madrid,270,39,31,36,32,16,13,2,2,99,2021_1T.xlsx
53,Murcia,20,3,2,4,3,1,2,1,0,4,2021_1T.xlsx
54,Navarra,6,1,1,1,2,0,0,0,0,1,2021_1T.xlsx
55,Pais Vasco,95,16,10,21,10,11,6,0,0,21,2021_1T.xlsx
56,Araba/Álava,7,1,1,1,0,2,0,0,0,2,2021_1T.xlsx
57,Bizkaia,64,12,3,16,6,7,5,0,0,15,2021_1T.xlsx
58,Gipuzkoa,24,3,6,4,4,2,1,0,0,4,2021_1T.xlsx
59,La Rioja,5,1,1,1,1,0,0,0,0,1,2021_1T.xlsx
60,Ceuta y Melilla,1,0,0,0,0,0,0,0,0,1,2021_1T.xlsx
61,Ceuta,0,0,0,0,0,0,0,0,0,0,2021_1T.xlsx
62,Melilla,1,0,0,0,0,0,0,0,0,1,2021_1T.xlsx
63,Andalucía,103,21,13,10,12,13,9,0,4,21,2021_2T.xlsx
64,Almería,10,0,1,1,1,1,0,0,4,2,2021_2T.xlsx
65,Cádiz,11,1,2,0,1,1,0,0,0,6,2021_2T.xlsx
66,Córdoba,5,0,1,1,1,1,0,0,0,1,2021_2T.xlsx
