,Comunidad/Provincia,Total,"V_Menos de 0,25","V_Entre 0,25 y 0,5","V_Entre 0,5 y 1",V_Entre 1 y 2,V_Entre 2 y 5,V_Entre 5 y 10,V_10 o mas,SD,Filename
0,Andalucía,120,34,21,12,13,3,4,0,33,2021_1T.xlsx
1,Almería,8,4,1,0,0,0,1,0,2,2021_1T.xlsx
2,Cádiz,11,3,1,0,1,0,0,0,6,2021_1T.xlsx
3,Córdoba,12,3,4,1,0,1,0,0,3,2021_1T.xlsx
4,Granada,6,2,1,3,0,0,0,0,0,2021_1T.xlsx
5,Huelva,4,2,0,0,1,0,1,0,0,2021_1T.xlsx
6,Jaén,7,2,1,1,0,0,0,0,3,2021_1T.xlsx
7,Málaga,38,9,8,6,8,1,1,0,5,2021_1T.xlsx
8,Sevilla,34,9,5,1,3,1,1,0,14,2021_1T.xlsx
9,Aragón,56,19,5,8,5,2,1,0,16,2021_1T.xlsx
10,Huesca,9,1,0,2,0,0,1,0,5,2021_1T.xlsx
11,Teruel,4,0,1,1,0,0,0,0,2,2021_1T.xlsx
12,Zaragoza,43,18,4,5,5,2,0,0,9,2021_1T.xlsx
13,Asturias,28,15,4,2,1,1,0,0,5,2021_1T.xlsx
14,"Balears, Illes",49,16,12,5,2,2,0,0,12,2021_1T.xlsx
15,Canarias,38,12,8,4,3,0,0,0,11,2021_1T.xlsx
16,Las Palmas de Gran Canaria,29,9,7,4,1,0,0,0,8,2021_1T.xlsx
17,Santa Cruz de Tenerife,9,3,1,0,2,0,0,0,3,2021_1T.xlsx
18,Cantabria,11,6,0,2,0,0,0,0,3,2021_1T.xlsx
19,Castilla y León,41,15,9,6,2,0,0,0,9,2021_1T.xlsx
20,Ávila,4,1,1,1,0,0,0,0,1,2021_1T.xlsx
21,Burgos,3,1,2,0,0,0,0,0,0,2021_1T.xlsx
22,León,7,2,1,2,0,0,0,0,2,2021_1T.xlsx
23,Palencia,2,1,1,0,0,0,0,0,0,2021_1T.xlsx
24,Salamanca,6,1,1,1,2,0,0,0,1,2021_1T.xlsx
25,Segovia,3,1,1,0,0,0,0,0,1,2021_1T.xlsx
26,Soria,3,1,0,0,0,0,0,0,2,2021_1T.xlsx
27,Valladolid,10,6,1,2,0,0,0,0,1,2021_1T.xlsx
28,Zamora,3,1,1,0,0,0,0,0,1,2021_1T.xlsx
29,Castilla-La Mancha,35,14,2,4,4,1,0,0,10,2021_1T.xlsx
30,Albacete,12,6,2,0,1,0,0,0,3,2021_1T.xlsx
31,Ciudad Real,3,1,0,0,1,0,0,0,1,2021_1T.xlsx
32,Cuenca,2,1,0,0,0,0,0,0,1,2021_1T.xlsx
33,Guadalajara,3,2,0,0,0,0,0,0,1,2021_1T.xlsx
34,Toledo,15,4,0,4,2,1,0,0,4,2021_1T.xlsx
35,Cataluña,401,105,47,48,27,19,4,0,151,2021_1T.xlsx
36,Barcelona,355,93,38,41,25,18,4,0,136,2021_1T.xlsx
37,Girona,22,6,4,4,2,0,0,0,6,2021_1T.xlsx
38,Lleida,6,2,1,2,0,0,0,0,1,2021_1T.xlsx
39,Tarragona,18,4,4,1,0,1,0,0,8,2021_1T.xlsx
40,Comunitat Valenciana,227,77,35,27,16,11,2,0,59,2021_1T.xlsx
41,Alicante,64,23,6,12,9,5,0,0,9,2021_1T.xlsx
42,Castellón,18,8,3,1,1,1,0,0,4,2021_1T.xlsx
43,Valencia,145,46,26,14,6,5,2,0,46,2021_1T.xlsx
44,Extremadura,10,2,1,1,0,1,0,0,5,2021_1T.xlsx
45,Badajoz,8,1,1,1,0,1,0,0,4,2021_1T.xlsx
46,Cáceres,2,1,0,0,0,0,0,0,1,2021_1T.xlsx
47,Galicia,57,25,8,10,4,0,0,0,10,2021_1T.xlsx
48,A Coruña,24,8,7,6,0,0,0,0,3,2021_1T.xlsx
49,Lugo,12,4,1,1,2,0,0,0,4,2021_1T.xlsx
50,Ourense,4,3,0,0,0,0,0,0,1,2021_1T.xlsx
51,Pontevedra,17,10,0,3,2,0,0,0,2,2021_1T.xlsx
52,Madrid,270,84,41,21,20,4,1,0,99,2021_1T.xlsx
53,Murcia,20,6,4,1,2,2,1,0,4,2021_1T.xlsx
54,Navarra,6,2,1,1,1,0,0,0,1,2021_1T.xlsx
55,Pais Vasco,95,36,12,8,10,8,0,0,21,2021_1T.xlsx
56,Araba/Álava,7,3,0,1,1,0,0,0,2,2021_1T.xlsx
57,Bizkaia,64,23,10,4,5,7,0,0,15,2021_1T.xlsx
58,Gipuzkoa,24,10,2,3,4,1,0,0,4,2021_1T.xlsx
59,La Rioja,5,2,2,0,0,0,0,0,1,2021_1T.xlsx
60,Ceuta y Melilla,1,0,0,0,0,0,0,0,1,2021_1T.xlsx
61,Ceuta,0,0,0,0,0,0,0,0,0,2021_1T.xlsx
62,Melilla,1,0,0,0,0,0,0,0,1,2021_1T.xlsx
63,Andalucía,103,36,14,15,7,7,3,0,21,2021_2T.xlsx
64,Almería,10,5,0,1,0,0,2,0,2,2021_2T.xlsx
65,Cádiz,11,4,0,1,0,0,0,0,6,2021_2T.xlsx
66,Córdoba,5,1,2,1,0,0,0,0,1,2021_2T.xlsx
67,Granada,13,4,1,5,0,1,0,0,2,2021_2T.xlsx
68,Huelva,8,3,1,1,0,0,0,0,3,2021_2T.xlsx
69,Jaén,2,1,0,0,1,0,0,0,0,2021_2T.xlsx
70,Málaga,22,6,4,2,4,3,1,0,2,2021_2T.xlsx
71,Sevilla,32,12,6,4,2,3,0,0,5,2021_2T.xlsx
72,Aragón,38,13,6,5,2,3,1,0,8,2021_2T.xlsx
73,Huesca,7,2,2,1,0,1,0,0,1,2021_2T.xlsx
74,Teruel,5,2,1,0,0,0,0,0,2,2021_2T.xlsx
75,Zaragoza,26,9,3,4,2,2,1,0,5,2021_2T.xlsx
76,Asturias,25,7,4,6,1,2,1,0,4,2021_2T.xlsx
77,"Balears, Illes",30,10,5,3,3,3,1,0,5,2021_2T.xlsx
78,Canarias,31,8,1,10,2,2,0,0,8,2021_2T.xlsx
79,Las Palmas de Gran Canaria,17,4,0,7,1,2,0,0,3,2021_2T.xlsx
80,Santa Cruz de Tenerife,14,4,1,3,1,0,0,0,5,2021_2T.xlsx
81,Cantabria,10,4,0,1,0,0,0,0,5,2021_2T.xlsx
82,Castilla y León,39,15,10,2,0,3,0,0,9,2021_2T.xlsx
83,Ávila,2,2,0,0,0,0,0,0,0,2021_2T.xlsx
84,Burgos,9,4,2,1,0,0,0,0,2,2021_2T.xlsx
85,León,3,1,1,0,0,0,0,0,1,2021_2T.xlsx
