,Comunidad/Provincia,Total,A_Hasta 4,A_Entre 5 y 8,A_Entre 9 y 12,A_Entre 13 y 16,A_Entre 17 y 19,A_20 o más,Filename
0,Andalucía,120,27,20,27,12,11,23,2021_1T.xlsx
1,Almería,8,1,2,2,2,0,1,2021_1T.xlsx
2,Cádiz,11,4,2,3,0,1,1,2021_1T.xlsx
3,Córdoba,12,6,0,1,0,2,3,2021_1T.xlsx
4,Granada,6,2,2,2,0,0,0,2021_1T.xlsx
5,Huelva,4,0,0,3,0,0,1,2021_1T.xlsx
6,Jaén,7,1,3,0,1,1,1,2021_1T.xlsx
7,Málaga,38,10,5,6,6,3,8,2021_1T.xlsx
8,Sevilla,34,3,6,10,3,4,8,2021_1T.xlsx
9,Aragón,56,11,10,5,6,4,20,2021_1T.xlsx
10,Huesca,9,4,3,1,1,0,0,2021_1T.xlsx
11,Teruel,4,1,1,0,0,1,1,2021_1T.xlsx
12,Zaragoza,43,6,6,4,5,3,19,2021_1T.xlsx
13,Asturias,28,2,6,5,2,4,9,2021_1T.xlsx
14,"Balears, Illes",49,4,15,8,7,4,11,2021_1T.xlsx
15,Canarias,38,7,11,1,2,2,15,2021_1T.xlsx
16,Las Palmas de Gran Canaria,29,4,8,1,2,1,13,2021_1T.xlsx
17,Santa Cruz de Tenerife,9,3,3,0,0,1,2,2021_1T.xlsx
18,Cantabria,11,2,3,1,1,1,3,2021_1T.xlsx
19,Castilla y León,41,5,9,3,4,4,16,2021_1T.xlsx
20,Ávila,4,0,0,0,1,0,3,2021_1T.xlsx
21,Burgos,3,0,1,0,0,0,2,2021_1T.xlsx
22,León,7,1,3,1,0,1,1,2021_1T.xlsx
23,Palencia,2,0,0,0,1,0,1,2021_1T.xlsx
24,Salamanca,6,1,2,1,0,0,2,2021_1T.xlsx
25,Segovia,3,0,0,0,1,0,2,2021_1T.xlsx
26,Soria,3,0,0,0,0,1,2,2021_1T.xlsx
27,Valladolid,10,3,2,1,1,1,2,2021_1T.xlsx
28,Zamora,3,0,1,0,0,1,1,2021_1T.xlsx
29,Castilla-La Mancha,35,2,16,5,5,1,6,2021_1T.xlsx
30,Albacete,12,1,5,4,1,0,1,2021_1T.xlsx
31,Ciudad Real,3,0,0,0,1,0,2,2021_1T.xlsx
32,Cuenca,2,0,1,0,0,0,1,2021_1T.xlsx
33,Guadalajara,3,0,2,0,0,1,0,2021_1T.xlsx
34,Toledo,15,1,8,1,3,0,2,2021_1T.xlsx
35,Cataluña,401,54,125,56,40,27,99,2021_1T.xlsx
36,Barcelona,355,46,114,51,34,22,88,2021_1T.xlsx
37,Girona,22,2,5,3,4,4,4,2021_1T.xlsx
38,Lleida,6,3,1,0,1,0,1,2021_1T.xlsx
39,Tarragona,18,3,5,2,1,1,6,2021_1T.xlsx
40,Comunitat Valenciana,227,40,66,25,22,25,49,2021_1T.xlsx
41,Alicante,64,16,18,4,4,4,18,2021_1T.xlsx
42,Castellón,18,1,3,2,0,6,6,2021_1T.xlsx
43,Valencia,145,23,45,19,18,15,25,2021_1T.xlsx
44,Extremadura,10,2,2,1,1,0,4,2021_1T.xlsx
45,Badajoz,8,2,2,1,1,0,2,2021_1T.xlsx
46,Cáceres,2,0,0,0,0,0,2,2021_1T.xlsx
47,Galicia,57,8,11,9,5,4,20,2021_1T.xlsx
48,A Coruña,24,3,6,3,2,1,9,2021_1T.xlsx
49,Lugo,12,1,2,2,1,1,5,2021_1T.xlsx
50,Ourense,4,2,0,1,0,0,1,2021_1T.xlsx
51,Pontevedra,17,2,3,3,2,2,5,2021_1T.xlsx
52,Madrid,270,49,79,39,24,21,58,2021_1T.xlsx
53,Murcia,20,2,5,2,1,3,7,2021_1T.xlsx
54,Navarra,6,0,1,0,1,0,4,2021_1T.xlsx
55,Pais Vasco,95,17,23,7,9,7,32,2021_1T.xlsx
56,Araba/Álava,7,2,1,0,0,2,2,2021_1T.xlsx
57,Bizkaia,64,12,17,7,6,3,19,2021_1T.xlsx
58,Gipuzkoa,24,3,5,0,3,2,11,2021_1T.xlsx
59,La Rioja,5,0,2,1,0,1,1,2021_1T.xlsx
60,Ceuta y Melilla,1,0,0,0,0,0,1,2021_1T.xlsx
61,Ceuta,0,0,0,0,0,0,0,2021_1T.xlsx
62,Melilla,1,0,0,0,0,0,1,2021_1T.xlsx
63,Andalucía,103,20,28,17,11,9,18,2021_2T.xlsx
64,Almería,10,3,2,3,0,1,1,2021_2T.xlsx
65,Cádiz,11,4,2,1,2,0,2,2021_2T.xlsx
66,Córdoba,5,0,3,0,0,1,1,2021_2T.xlsx
67,Granada,13,2,4,2,1,2,2,2021_2T.xlsx
68,Huelva,8,2,3,1,1,1,0,2021_2T.xlsx
69,Jaén,2,0,0,0,0,1,1,2021_2T.xlsx
70,Málaga,22,2,6,4,2,2,6,2021_2T.xlsx
71,Sevilla,32,7,8,6,5,1,5,2021_2T.xlsx
72,Aragón,38,5,9,9,2,3,10,2021_2T.xlsx
73,Huesca,7,1,1,4,0,0,1,2021_2T.xlsx
74,Teruel,5,2,1,0,0,0,2,2021_2T.xlsx
75,Zaragoza,26,2,7,5,2,3,7,2021_2T.xlsx
76,Asturias,25,1,12,4,0,1,7,2021_2T.xlsx
77,"Balears, Illes",30,6,11,3,3,0,7,2021_2T.xlsx
78,Canarias,31,3,9,7,7,0,5,2021_2T.xlsx
79,Las Palmas de Gran Canaria,17,1,7,2,5,0,2,2021_2T.xlsx
80,Santa Cruz de Tenerife,14,2,2,5,2,0,3,2021_2T.xlsx
81,Cantabria,10,2,2,0,2,0,4,2021_2T.xlsx
82,Castilla y León,39,4,4,7,5,6,13,2021_2T.xlsx
83,Ávila,2,0,1,1,0,0,0,2021_2T.xlsx
84,Burgos,9,1,0,1,0,4,3,2021_2T.xlsx
85,León,3,0,0,1,0,1,1,2021_2T.xlsx
86,Palencia,4,1,0,0,0,0,3,2021_2T.xlsx
87,Salamanca,4,1,1,1,0,0,1,2021_2T.xlsx
88,Segovia,1,0,0,1,0,0,0,2021_2T.xlsx
89,Soria,2,1,1,0,0,0,0,2021_2T.xlsx
90,Valladolid,10,0,1,1,4,1,3,2021_2T.xlsx
91,Zamora,4,0,0,1,1,0,2,2021_2T.xlsx
92,Castilla-La Mancha,31,2,7,5,3,4,10,2021_2T.xlsx
93,Albacete,8,1,1,1,1,1,3,2021_2T.xlsx
94,Ciudad Real,4,0,1,0,0,1,2,2021_2T.xlsx
95,Cuenca,3,0,1,1,1,0,0,2021_2T.xlsx
96,Guadalajara,4,0,1,3,0,0,0,2021_2T.xlsx
97,Toledo,12,1,3,0,1,2,5,2021_2T.xlsx
98,Cataluña,331,61,74,53,28,24,91,2021_2T.xlsx
99,Barcelona,274,56,61,41,22,20,74,2021_2T.xlsx
100,Girona,22,3,4,5,3,2,5,2021_2T.xlsx
101,Lleida,9,1,2,2,0,1,3,2021_2T.xlsx
102,Tarragona,26,1,7,5,3,1,9,2021_2T.xlsx
103,Comunitat Valenciana,176,26,39,23,31,15,42,2021_2T.xlsx
104,Alicante,54,7,13,5,9,5,15,2021_2T.xlsx
105,Castellón,11,2,3,1,0,0,5,2021_2T.xlsx
106,Valencia,111,17,23,17,22,10,22,2021_2T.xlsx
107,Extremadura,13,2,4,1,1,0,5,2021_2T.xlsx
108,Badajoz,9,1,4,1,0,0,3,2021_2T.xlsx
109,Cáceres,4,1,0,0,1,0,2,2021_2T.xlsx
110,Galicia,48,5,12,7,6,5,13,2021_2T.xlsx
111,A Coruña,17,0,5,2,4,2,4,2021_2T.xlsx
112,Lugo,6,1,1,1,1,1,1,2021_2T.xlsx
113,Ourense,4,0,2,0,0,1,1,2021_2T.xlsx
114,Pontevedra,21,4,4,4,1,1,7,2021_2T.xlsx
115,Madrid,345,57,98,52,41,25,72,2021_2T.xlsx
116,Murcia,25,4,6,3,5,2,5,2021_2T.xlsx
117,Navarra,7,2,1,2,0,0,2,2021_2T.xlsx
