id_geo___ca,comunidad_provincia,total,s_limitadas,s_anonimas,sotras,personas_fisicas,año,trimestre
104,Almería,22.0,8.0,0.0,0.0,14.0,2021,1
111,Cádiz,38.0,11.0,0.0,0.0,27.0,2021,1
114,Córdoba,27.0,10.0,2.0,0.0,15.0,2021,1
118,Granada,23.0,6.0,0.0,0.0,17.0,2021,1
121,Huelva,12.0,3.0,0.0,1.0,8.0,2021,1
123,Jaén,20.0,7.0,0.0,0.0,13.0,2021,1
129,Málaga,59.0,37.0,1.0,0.0,21.0,2021,1
141,Sevilla,118.0,32.0,2.0,0.0,84.0,2021,1
943,Aragón,158.0,51.0,4.0,1.0,102.0,2021,1
222,Huesca,27.0,9.0,0.0,0.0,18.0,2021,1
244,Teruel,10.0,4.0,0.0,0.0,6.0,2021,1
250,Zaragoza,121.0,38.0,4.0,1.0,78.0,2021,1
333,Asturias,102.0,24.0,2.0,2.0,74.0,2021,1
407,"Balears, Illes",87.0,47.0,2.0,0.0,38.0,2021,1
639,Canarias,129.0,34.0,4.0,0.0,91.0,2021,1
538,Santa Cruz de Tenerife,50.0,8.0,1.0,0.0,41.0,2021,1
639,Cantabria,15.0,11.0,0.0,0.0,4.0,2021,1
705,Ávila,11.0,3.0,1.0,0.0,7.0,2021,1
709,Burgos,9.0,2.0,1.0,0.0,6.0,2021,1
724,León,19.0,7.0,0.0,0.0,12.0,2021,1
734,Palencia,2.0,2.0,0.0,0.0,0.0,2021,1
737,Salamanca,24.0,5.0,1.0,0.0,18.0,2021,1
740,Segovia,10.0,3.0,0.0,0.0,7.0,2021,1
742,Soria,7.0,3.0,0.0,0.0,4.0,2021,1
747,Valladolid,33.0,10.0,0.0,0.0,23.0,2021,1
749,Zamora,3.0,3.0,0.0,0.0,0.0,2021,1
802,Albacete,19.0,11.0,0.0,1.0,7.0,2021,1
813,Ciudad Real,10.0,3.0,0.0,0.0,7.0,2021,1
816,Cuenca,4.0,1.0,1.0,0.0,2.0,2021,1
819,Guadalajara,34.0,3.0,0.0,0.0,31.0,2021,1
845,Toledo,30.0,15.0,0.0,0.0,15.0,2021,1
908,Barcelona,967.0,323.0,29.0,3.0,612.0,2021,1
917,Girona,70.0,22.0,0.0,0.0,48.0,2021,1
925,Lleida,52.0,6.0,0.0,0.0,46.0,2021,1
943,Tarragona,67.0,17.0,0.0,1.0,49.0,2021,1
734,Valencia,291.0,132.0,5.0,8.0,146.0,2021,1
1106,Badajoz,12.0,6.0,1.0,1.0,4.0,2021,1
1110,Cáceres,6.0,2.0,0.0,0.0,4.0,2021,1
1227,Lugo,23.0,11.0,0.0,1.0,11.0,2021,1
1232,Ourense,5.0,4.0,0.0,0.0,1.0,2021,1
1236,Pontevedra,41.0,16.0,1.0,0.0,24.0,2021,1
1328,Madrid,472.0,228.0,35.0,7.0,202.0,2021,1
1430,Murcia,65.0,18.0,0.0,2.0,45.0,2021,1
1531,Navarra,18.0,6.0,0.0,0.0,12.0,2021,1
1601,Araba/Álava,14.0,6.0,0.0,1.0,7.0,2021,1
1648,Bizkaia,85.0,59.0,3.0,2.0,21.0,2021,1
1620,Gipuzkoa,41.0,20.0,3.0,1.0,17.0,2021,1
1851,Ceuta,5.0,0.0,0.0,0.0,5.0,2021,1
1952,Melilla,2.0,1.0,0.0,0.0,1.0,2021,1
104,Almería,31.0,10.0,0.0,0.0,21.0,2021,2
111,Cádiz,19.0,11.0,0.0,0.0,8.0,2021,2
