id_geo___ca,pj,total,t_voluntario,t_necesario,t_consecutivo,c_ordinario,c_especial,c_sin_masa,comunidad_provincia,comunidad_autonoma,año,trimestre
104,fisica,14.0,1.0,0.0,13.0,13.0,0.0,1.0,almeria,Andalucia,2021,1
111,fisica,27.0,4.0,0.0,23.0,23.0,1.0,3.0,cadiz,Andalucia,2021,1
114,fisica,15.0,5.0,0.0,10.0,11.0,0.0,4.0,cordoba,Andalucia,2021,1
118,fisica,17.0,1.0,0.0,16.0,14.0,1.0,2.0,granada,Andalucia,2021,1
121,fisica,8.0,1.0,0.0,7.0,8.0,0.0,0.0,huelva,Andalucia,2021,1
123,fisica,13.0,1.0,0.0,12.0,12.0,0.0,1.0,jaen,Andalucia,2021,1
129,fisica,21.0,6.0,0.0,15.0,19.0,0.0,2.0,malaga,Andalucia,2021,1
141,fisica,84.0,3.0,0.0,81.0,77.0,2.0,5.0,sevilla,Andalucia,2021,1
943,fisica,102.0,20.0,0.0,82.0,77.0,0.0,25.0,aragon,,2021,1
222,fisica,18.0,9.0,0.0,9.0,13.0,0.0,5.0,huesca,Aragon,2021,1
244,fisica,6.0,3.0,0.0,3.0,6.0,0.0,0.0,teruel,Aragon,2021,1
250,fisica,78.0,8.0,0.0,70.0,58.0,0.0,20.0,zaragoza,Aragon,2021,1
333,fisica,74.0,22.0,5.0,47.0,55.0,0.0,19.0,asturias,Asturias,2021,1
407,fisica,38.0,12.0,0.0,26.0,36.0,1.0,1.0,balears illes,Baleares,2021,1
639,fisica,91.0,23.0,0.0,68.0,75.0,2.0,14.0,canarias,,2021,1
538,fisica,41.0,7.0,0.0,34.0,36.0,2.0,3.0,santa cruz de tenerife,Canarias,2021,1
639,fisica,4.0,4.0,0.0,0.0,4.0,0.0,0.0,cantabria,Cantabria,2021,1
705,fisica,7.0,1.0,0.0,6.0,3.0,0.0,4.0,avila,Castilla y Leon,2021,1
709,fisica,6.0,0.0,0.0,6.0,6.0,0.0,0.0,burgos,Castilla y Leon,2021,1
724,fisica,12.0,3.0,0.0,9.0,12.0,0.0,0.0,leon,Castilla y Leon,2021,1
734,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,palencia,Castilla y Leon,2021,1
737,fisica,18.0,5.0,0.0,13.0,13.0,0.0,5.0,salamanca,Castilla y Leon,2021,1
740,fisica,7.0,2.0,0.0,5.0,7.0,0.0,0.0,segovia,Castilla y Leon,2021,1
742,fisica,4.0,0.0,0.0,4.0,4.0,0.0,0.0,soria,Castilla y Leon,2021,1
747,fisica,23.0,13.0,0.0,10.0,13.0,1.0,9.0,valladolid,Castilla y Leon,2021,1
749,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zamora,Castilla y Leon,2021,1
802,fisica,7.0,3.0,0.0,4.0,5.0,0.0,2.0,albacete,Castilla La Mancha,2021,1
813,fisica,7.0,5.0,0.0,2.0,0.0,0.0,7.0,ciudad real,Castilla La Mancha,2021,1
816,fisica,2.0,0.0,0.0,2.0,0.0,0.0,2.0,cuenca,Castilla La Mancha,2021,1
819,fisica,31.0,3.0,0.0,28.0,17.0,0.0,14.0,guadalajara,Castilla La Mancha,2021,1
845,fisica,15.0,7.0,0.0,8.0,11.0,0.0,4.0,toledo,Castilla La Mancha,2021,1
908,fisica,612.0,38.0,0.0,574.0,603.0,4.0,5.0,barcelona,Cataluña,2021,1
917,fisica,48.0,1.0,0.0,47.0,45.0,0.0,3.0,girona,Cataluña,2021,1
925,fisica,46.0,7.0,0.0,39.0,44.0,0.0,2.0,lleida,Cataluña,2021,1
943,fisica,49.0,3.0,0.0,46.0,45.0,2.0,2.0,tarragona,Cataluña,2021,1
734,fisica,146.0,69.0,0.0,77.0,139.0,2.0,5.0,valencia,Valencia,2021,1
1106,fisica,4.0,0.0,0.0,4.0,2.0,0.0,2.0,badajoz,Extremadura,2021,1
1110,fisica,4.0,3.0,0.0,1.0,3.0,0.0,1.0,caceres,Extremadura,2021,1
1227,fisica,11.0,1.0,0.0,10.0,11.0,0.0,0.0,lugo,Galicia,2021,1
1232,fisica,1.0,1.0,0.0,0.0,1.0,0.0,0.0,ourense,Galicia,2021,1
1236,fisica,24.0,11.0,0.0,13.0,20.0,0.0,4.0,pontevedra,Galicia,2021,1
1328,fisica,202.0,16.0,0.0,186.0,161.0,3.0,38.0,madrid,Madrid,2021,1
1430,fisica,45.0,9.0,1.0,35.0,45.0,0.0,0.0,murcia,Murcia,2021,1
1531,fisica,12.0,4.0,0.0,8.0,11.0,0.0,1.0,navarra,Navarra,2021,1
1601,fisica,7.0,5.0,0.0,2.0,7.0,0.0,0.0,araba alava,Pais Vasco,2021,1
1648,fisica,21.0,16.0,0.0,5.0,10.0,0.0,11.0,bizkaia,Pais Vasco,2021,1
1620,fisica,17.0,9.0,0.0,8.0,12.0,0.0,5.0,gipuzkoa,Pais Vasco,2021,1
1851,fisica,5.0,3.0,1.0,1.0,2.0,0.0,3.0,ceuta,Ceuta,2021,1
1952,fisica,1.0,1.0,0.0,0.0,1.0,0.0,0.0,melilla,Melilla,2021,1
104,empresas,8.0,8.0,0.0,0.0,0.0,5.0,3.0,almeria,Andalucia,2021,1
111,empresas,11.0,11.0,0.0,0.0,5.0,0.0,6.0,cadiz,Andalucia,2021,1
114,empresas,12.0,12.0,0.0,0.0,1.0,2.0,9.0,cordoba,Andalucia,2021,1
118,empresas,6.0,6.0,0.0,0.0,3.0,1.0,2.0,granada,Andalucia,2021,1
121,empresas,4.0,4.0,0.0,0.0,2.0,0.0,2.0,huelva,Andalucia,2021,1
123,empresas,7.0,7.0,0.0,0.0,6.0,1.0,0.0,jaen,Andalucia,2021,1
129,empresas,38.0,37.0,1.0,0.0,5.0,23.0,10.0,malaga,Andalucia,2021,1
141,empresas,34.0,34.0,0.0,0.0,21.0,4.0,9.0,sevilla,Andalucia,2021,1
943,empresas,56.0,56.0,0.0,0.0,22.0,7.0,27.0,aragon,,2021,1
222,empresas,9.0,9.0,0.0,0.0,4.0,5.0,0.0,huesca,Aragon,2021,1
244,empresas,4.0,4.0,0.0,0.0,3.0,0.0,1.0,teruel,Aragon,2021,1
250,empresas,43.0,43.0,0.0,0.0,15.0,2.0,26.0,zaragoza,Aragon,2021,1
333,empresas,28.0,27.0,0.0,1.0,9.0,1.0,18.0,asturias,Asturias,2021,1
407,empresas,49.0,48.0,1.0,0.0,34.0,2.0,13.0,balears illes,Baleares,2021,1
639,empresas,38.0,37.0,1.0,0.0,13.0,4.0,21.0,canarias,,2021,1
538,empresas,9.0,9.0,0.0,0.0,2.0,1.0,6.0,santa cruz de tenerife,Canarias,2021,1
639,empresas,11.0,11.0,0.0,0.0,4.0,0.0,7.0,cantabria,Cantabria,2021,1
705,empresas,4.0,4.0,0.0,0.0,1.0,3.0,0.0,avila,Castilla y Leon,2021,1
709,empresas,3.0,3.0,0.0,0.0,1.0,0.0,2.0,burgos,Castilla y Leon,2021,1
724,empresas,7.0,4.0,0.0,3.0,3.0,0.0,4.0,leon,Castilla y Leon,2021,1
734,empresas,2.0,2.0,0.0,0.0,0.0,0.0,2.0,palencia,Castilla y Leon,2021,1
737,empresas,6.0,6.0,0.0,0.0,1.0,1.0,4.0,salamanca,Castilla y Leon,2021,1
740,empresas,3.0,3.0,0.0,0.0,0.0,0.0,3.0,segovia,Castilla y Leon,2021,1
742,empresas,3.0,1.0,0.0,2.0,3.0,0.0,0.0,soria,Castilla y Leon,2021,1
747,empresas,10.0,10.0,0.0,0.0,1.0,1.0,8.0,valladolid,Castilla y Leon,2021,1
749,empresas,3.0,3.0,0.0,0.0,3.0,0.0,0.0,zamora,Castilla y Leon,2021,1
802,empresas,12.0,12.0,0.0,0.0,2.0,0.0,10.0,albacete,Castilla La Mancha,2021,1
813,empresas,3.0,3.0,0.0,0.0,1.0,0.0,2.0,ciudad real,Castilla La Mancha,2021,1
816,empresas,2.0,2.0,0.0,0.0,0.0,0.0,2.0,cuenca,Castilla La Mancha,2021,1
819,empresas,3.0,3.0,0.0,0.0,1.0,0.0,2.0,guadalajara,Castilla La Mancha,2021,1
845,empresas,15.0,13.0,0.0,2.0,9.0,0.0,6.0,toledo,Castilla La Mancha,2021,1
908,empresas,355.0,346.0,5.0,4.0,141.0,2.0,212.0,barcelona,Cataluña,2021,1
917,empresas,22.0,22.0,0.0,0.0,9.0,0.0,13.0,girona,Cataluña,2021,1
925,empresas,6.0,6.0,0.0,0.0,2.0,1.0,3.0,lleida,Cataluña,2021,1
943,empresas,18.0,17.0,1.0,0.0,13.0,0.0,5.0,tarragona,Cataluña,2021,1
734,empresas,145.0,145.0,0.0,0.0,27.0,2.0,116.0,valencia,Valencia,2021,1
1106,empresas,8.0,8.0,0.0,0.0,5.0,0.0,3.0,badajoz,Extremadura,2021,1
1110,empresas,2.0,2.0,0.0,0.0,1.0,0.0,1.0,caceres,Extremadura,2021,1
1227,empresas,12.0,12.0,0.0,0.0,12.0,0.0,0.0,lugo,Galicia,2021,1
1232,empresas,4.0,4.0,0.0,0.0,4.0,0.0,0.0,ourense,Galicia,2021,1
1236,empresas,17.0,17.0,0.0,0.0,15.0,0.0,2.0,pontevedra,Galicia,2021,1
1328,empresas,270.0,258.0,8.0,4.0,67.0,26.0,177.0,madrid,Madrid,2021,1
1430,empresas,20.0,20.0,0.0,0.0,17.0,0.0,3.0,murcia,Murcia,2021,1
1531,empresas,6.0,6.0,0.0,0.0,4.0,0.0,2.0,navarra,Navarra,2021,1
1601,empresas,7.0,7.0,0.0,0.0,3.0,1.0,3.0,araba alava,Pais Vasco,2021,1
1648,empresas,64.0,64.0,0.0,0.0,21.0,2.0,41.0,bizkaia,Pais Vasco,2021,1
1620,empresas,24.0,24.0,0.0,0.0,6.0,1.0,17.0,gipuzkoa,Pais Vasco,2021,1
104,fisica,21.0,0.0,0.0,21.0,20.0,0.0,1.0,almeria,Andalucia,2021,2
111,fisica,8.0,0.0,0.0,8.0,7.0,0.0,1.0,cadiz,Andalucia,2021,2
114,fisica,15.0,0.0,0.0,15.0,11.0,0.0,4.0,cordoba,Andalucia,2021,2
118,fisica,22.0,5.0,0.0,17.0,18.0,3.0,1.0,granada,Andalucia,2021,2
121,fisica,12.0,0.0,0.0,12.0,12.0,0.0,0.0,huelva,Andalucia,2021,2
123,fisica,9.0,4.0,0.0,5.0,8.0,0.0,1.0,jaen,Andalucia,2021,2
129,fisica,39.0,4.0,0.0,35.0,36.0,0.0,3.0,malaga,Andalucia,2021,2
141,fisica,74.0,14.0,0.0,60.0,67.0,0.0,7.0,sevilla,Andalucia,2021,2
943,fisica,79.0,5.0,1.0,73.0,52.0,0.0,27.0,aragon,,2021,2
222,fisica,2.0,1.0,0.0,1.0,1.0,0.0,1.0,huesca,Aragon,2021,2
244,fisica,6.0,1.0,0.0,5.0,5.0,0.0,1.0,teruel,Aragon,2021,2
250,fisica,71.0,3.0,1.0,67.0,46.0,0.0,25.0,zaragoza,Aragon,2021,2
333,fisica,68.0,26.0,4.0,38.0,46.0,0.0,22.0,asturias,Asturias,2021,2
407,fisica,41.0,23.0,0.0,18.0,41.0,0.0,0.0,balears illes,Baleares,2021,2
639,fisica,77.0,16.0,0.0,61.0,63.0,1.0,13.0,canarias,,2021,2
538,fisica,28.0,9.0,0.0,19.0,26.0,1.0,1.0,santa cruz de tenerife,Canarias,2021,2
639,fisica,6.0,6.0,0.0,0.0,6.0,0.0,0.0,cantabria,Cantabria,2021,2
705,fisica,3.0,2.0,0.0,1.0,3.0,0.0,0.0,avila,Castilla y Leon,2021,2
709,fisica,6.0,3.0,0.0,3.0,6.0,0.0,0.0,burgos,Castilla y Leon,2021,2
724,fisica,16.0,5.0,0.0,11.0,15.0,0.0,1.0,leon,Castilla y Leon,2021,2
734,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,palencia,Castilla y Leon,2021,2
737,fisica,11.0,3.0,0.0,8.0,6.0,0.0,5.0,salamanca,Castilla y Leon,2021,2
740,fisica,2.0,1.0,0.0,1.0,2.0,0.0,0.0,segovia,Castilla y Leon,2021,2
742,fisica,5.0,0.0,0.0,5.0,5.0,0.0,0.0,soria,Castilla y Leon,2021,2
747,fisica,22.0,10.0,0.0,12.0,18.0,0.0,4.0,valladolid,Castilla y Leon,2021,2
749,fisica,6.0,0.0,0.0,6.0,3.0,0.0,3.0,zamora,Castilla y Leon,2021,2
802,fisica,13.0,1.0,0.0,12.0,7.0,0.0,6.0,albacete,Castilla La Mancha,2021,2
813,fisica,4.0,3.0,0.0,1.0,1.0,0.0,3.0,ciudad real,Castilla La Mancha,2021,2
816,fisica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cuenca,Castilla La Mancha,2021,2
819,fisica,20.0,7.0,0.0,13.0,6.0,0.0,14.0,guadalajara,Castilla La Mancha,2021,2
845,fisica,20.0,5.0,0.0,15.0,18.0,0.0,2.0,toledo,Castilla La Mancha,2021,2
908,fisica,558.0,37.0,0.0,521.0,543.0,0.0,15.0,barcelona,Cataluña,2021,2
917,fisica,48.0,5.0,0.0,43.0,47.0,0.0,1.0,girona,Cataluña,2021,2
925,fisica,46.0,6.0,0.0,40.0,44.0,1.0,1.0,lleida,Cataluña,2021,2
943,fisica,60.0,2.0,0.0,58.0,55.0,0.0,5.0,tarragona,Cataluña,2021,2
734,fisica,155.0,65.0,1.0,89.0,145.0,2.0,8.0,valencia,Valencia,2021,2
1106,fisica,8.0,5.0,0.0,3.0,8.0,0.0,0.0,badajoz,Extremadura,2021,2
1110,fisica,6.0,2.0,0.0,4.0,6.0,0.0,0.0,caceres,Extremadura,2021,2
