id_geo___ca,comunidad_provincia,total,a_hasta_4,a_entre_5_y_8,a_entre_9_y_12,a_entre_13_y_16,a_entre_17_y_19,a_20_o_mas,año,trimestre
104,Almería,8.0,1.0,2.0,2.0,2.0,0.0,1.0,2021,1
111,Cádiz,11.0,4.0,2.0,3.0,0.0,1.0,1.0,2021,1
114,Córdoba,12.0,6.0,0.0,1.0,0.0,2.0,3.0,2021,1
118,Granada,6.0,2.0,2.0,2.0,0.0,0.0,0.0,2021,1
121,Huelva,4.0,0.0,0.0,3.0,0.0,0.0,1.0,2021,1
123,Jaén,7.0,1.0,3.0,0.0,1.0,1.0,1.0,2021,1
129,Málaga,38.0,10.0,5.0,6.0,6.0,3.0,8.0,2021,1
141,Sevilla,34.0,3.0,6.0,10.0,3.0,4.0,8.0,2021,1
943,Aragón,56.0,11.0,10.0,5.0,6.0,4.0,20.0,2021,1
222,Huesca,9.0,4.0,3.0,1.0,1.0,0.0,0.0,2021,1
244,Teruel,4.0,1.0,1.0,0.0,0.0,1.0,1.0,2021,1
250,Zaragoza,43.0,6.0,6.0,4.0,5.0,3.0,19.0,2021,1
333,Asturias,28.0,2.0,6.0,5.0,2.0,4.0,9.0,2021,1
407,"Balears, Illes",49.0,4.0,15.0,8.0,7.0,4.0,11.0,2021,1
639,Canarias,38.0,7.0,11.0,1.0,2.0,2.0,15.0,2021,1
538,Santa Cruz de Tenerife,9.0,3.0,3.0,0.0,0.0,1.0,2.0,2021,1
639,Cantabria,11.0,2.0,3.0,1.0,1.0,1.0,3.0,2021,1
705,Ávila,4.0,0.0,0.0,0.0,1.0,0.0,3.0,2021,1
709,Burgos,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2021,1
724,León,7.0,1.0,3.0,1.0,0.0,1.0,1.0,2021,1
734,Palencia,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2021,1
737,Salamanca,6.0,1.0,2.0,1.0,0.0,0.0,2.0,2021,1
740,Segovia,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2021,1
742,Soria,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2021,1
747,Valladolid,10.0,3.0,2.0,1.0,1.0,1.0,2.0,2021,1
749,Zamora,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2021,1
802,Albacete,12.0,1.0,5.0,4.0,1.0,0.0,1.0,2021,1
813,Ciudad Real,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2021,1
816,Cuenca,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2021,1
819,Guadalajara,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2021,1
845,Toledo,15.0,1.0,8.0,1.0,3.0,0.0,2.0,2021,1
908,Barcelona,355.0,46.0,114.0,51.0,34.0,22.0,88.0,2021,1
917,Girona,22.0,2.0,5.0,3.0,4.0,4.0,4.0,2021,1
925,Lleida,6.0,3.0,1.0,0.0,1.0,0.0,1.0,2021,1
943,Tarragona,18.0,3.0,5.0,2.0,1.0,1.0,6.0,2021,1
734,Valencia,145.0,23.0,45.0,19.0,18.0,15.0,25.0,2021,1
1106,Badajoz,8.0,2.0,2.0,1.0,1.0,0.0,2.0,2021,1
1110,Cáceres,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2021,1
1227,Lugo,12.0,1.0,2.0,2.0,1.0,1.0,5.0,2021,1
1232,Ourense,4.0,2.0,0.0,1.0,0.0,0.0,1.0,2021,1
1236,Pontevedra,17.0,2.0,3.0,3.0,2.0,2.0,5.0,2021,1
1328,Madrid,270.0,49.0,79.0,39.0,24.0,21.0,58.0,2021,1
1430,Murcia,20.0,2.0,5.0,2.0,1.0,3.0,7.0,2021,1
