sexo,comunidad_autonoma,edad,periodo,tasa_paro,año,trimestre
Todos,España,Todos,2025T2,10.29,2025,2
Todos,España,Todos,2025T1,11.36,2025,1
Todos,España,Todos,2024T4,10.61,2024,4
Todos,España,Todos,2024T3,11.21,2024,3
Todos,España,Todos,2024T2,11.27,2024,2
Todos,España,Todos,2024T1,12.29,2024,1
Todos,España,Todos,2023T4,11.8,2023,4
Todos,España,Todos,2023T3,11.89,2023,3
Todos,España,Todos,2023T2,11.67,2023,2
Todos,España,Todos,2023T1,13.38,2023,1
Todos,España,Todos,2022T4,12.99,2022,4
Todos,España,Todos,2022T3,12.73,2022,3
Todos,España,Todos,2022T2,12.69,2022,2
Todos,España,Todos,2022T1,13.73,2022,1
Todos,España,Todos,2021T4,13.44,2021,4
Todos,España,Todos,2021T3,14.71,2021,3
Todos,España,Todos,2021T2,15.39,2021,2
Todos,España,Todos,2021T1,16.14,2021,1
Todos,España,Menores25,2025T2,24.54,2025,2
Todos,España,Menores25,2025T1,26.53,2025,1
Todos,España,Menores25,2024T4,24.9,2024,4
Todos,España,Menores25,2024T3,26.89,2024,3
Todos,España,Menores25,2024T2,26.58,2024,2
Todos,España,Menores25,2024T1,27.7,2024,1
Todos,España,Menores25,2023T4,28.52,2023,4
Todos,España,Menores25,2023T3,28.28,2023,3
Todos,España,Menores25,2023T2,28.12,2023,2
Todos,España,Menores25,2023T1,29.85,2023,1
Todos,España,Menores25,2022T4,28.97,2022,4
Todos,España,Menores25,2022T3,30.39,2022,3
Todos,España,Menores25,2022T2,29.23,2022,2
Todos,España,Menores25,2022T1,30.04,2022,1
Todos,España,Menores25,2021T4,30.98,2021,4
Todos,España,Menores25,2021T3,31.66,2021,3
Todos,España,Menores25,2021T2,38.47,2021,2
Todos,España,Menores25,2021T1,39.44,2021,1
Todos,España,25 y más años,2025T2,9.15,2025,2
Todos,España,25 y más años,2025T1,10.23,2025,1
Todos,España,25 y más años,2024T4,9.52,2024,4
Todos,España,25 y más años,2024T3,9.86,2024,3
Todos,España,25 y más años,2024T2,10.08,2024,2
Todos,España,25 y más años,2024T1,11.14,2024,1
Todos,España,25 y más años,2023T4,10.55,2023,4
Todos,España,25 y más años,2023T3,10.54,2023,3
Todos,España,25 y más años,2023T2,10.44,2023,2
Todos,España,25 y más años,2023T1,12.21,2023,1
Todos,España,25 y más años,2022T4,11.85,2022,4
Todos,España,25 y más años,2022T3,11.34,2022,3
Todos,España,25 y más años,2022T2,11.46,2022,2
Todos,España,25 y más años,2022T1,12.61,2022,1
Todos,España,25 y más años,2021T4,12.27,2021,4
Todos,España,25 y más años,2021T3,13.42,2021,3
Todos,España,25 y más años,2021T2,13.77,2021,2
Todos,España,25 y más años,2021T1,14.64,2021,1
Todos,España,De 16 a 19 años,2025T2,39.88,2025,2
Todos,España,De 16 a 19 años,2025T1,40.22,2025,1
Todos,España,De 16 a 19 años,2024T4,38.79,2024,4
Todos,España,De 16 a 19 años,2024T3,38.43,2024,3
Todos,España,De 16 a 19 años,2024T2,44.52,2024,2
Todos,España,De 16 a 19 años,2024T1,41.06,2024,1
Todos,España,De 16 a 19 años,2023T4,42.86,2023,4
Todos,España,De 16 a 19 años,2023T3,41.41,2023,3
Todos,España,De 16 a 19 años,2023T2,43.5,2023,2
Todos,España,De 16 a 19 años,2023T1,45.3,2023,1
Todos,España,De 16 a 19 años,2022T4,41.29,2022,4
Todos,España,De 16 a 19 años,2022T3,43.83,2022,3
Todos,España,De 16 a 19 años,2022T2,48.78,2022,2
Todos,España,De 16 a 19 años,2022T1,45.73,2022,1
Todos,España,De 16 a 19 años,2021T4,50.23,2021,4
Todos,España,De 16 a 19 años,2021T3,43.25,2021,3
Todos,España,De 16 a 19 años,2021T2,55.15,2021,2
Todos,España,De 16 a 19 años,2021T1,58.42,2021,1
Todos,España,De 20 a 24 años,2025T2,21.3,2025,2
Todos,España,De 20 a 24 años,2025T1,24.06,2025,1
Todos,España,De 20 a 24 años,2024T4,22.02,2024,4
Todos,España,De 20 a 24 años,2024T3,24.02,2024,3
Todos,España,De 20 a 24 años,2024T2,22.42,2024,2
Todos,España,De 20 a 24 años,2024T1,24.98,2024,1
Todos,España,De 20 a 24 años,2023T4,25.72,2023,4
Todos,España,De 20 a 24 años,2023T3,25.14,2023,3
Todos,España,De 20 a 24 años,2023T2,24.94,2023,2
Todos,España,De 20 a 24 años,2023T1,26.86,2023,1
Todos,España,De 20 a 24 años,2022T4,26.47,2022,4
Todos,España,De 20 a 24 años,2022T3,27.25,2022,3
Todos,España,De 20 a 24 años,2022T2,24.81,2022,2
Todos,España,De 20 a 24 años,2022T1,26.82,2022,1
Todos,España,De 20 a 24 años,2021T4,27.2,2021,4
Todos,España,De 20 a 24 años,2021T3,28.83,2021,3
Todos,España,De 20 a 24 años,2021T2,35.02,2021,2
Todos,España,De 20 a 24 años,2021T1,36.28,2021,1
Todos,España,25a54,2025T2,9.02,2025,2
Todos,España,25a54,2025T1,10.2,2025,1
Todos,España,25a54,2024T4,9.43,2024,4
Todos,España,25a54,2024T3,9.78,2024,3
Todos,España,25a54,2024T2,10.11,2024,2
Todos,España,25a54,2024T1,11.17,2024,1
Todos,España,25a54,2023T4,10.53,2023,4
Todos,España,25a54,2023T3,10.47,2023,3
Todos,España,25a54,2023T2,10.27,2023,2
Todos,España,25a54,2023T1,12.33,2023,1
Todos,España,25a54,2022T4,12.06,2022,4
Todos,España,25a54,2022T3,11.57,2022,3
Todos,España,25a54,2022T2,11.38,2022,2
Todos,España,25a54,2022T1,12.72,2022,1
Todos,España,25a54,2021T4,12.28,2021,4
Todos,España,25a54,2021T3,13.32,2021,3
Todos,España,25a54,2021T2,14.04,2021,2
Todos,España,25a54,2021T1,15.14,2021,1
Todos,España,De 55 y más años,2025T2,9.55,2025,2
Todos,España,De 55 y más años,2025T1,10.35,2025,1
Todos,España,De 55 y más años,2024T4,9.82,2024,4
Todos,España,De 55 y más años,2024T3,10.13,2024,3
Todos,España,De 55 y más años,2024T2,9.97,2024,2
Todos,España,De 55 y más años,2024T1,11.05,2024,1
Todos,España,De 55 y más años,2023T4,10.61,2023,4
Todos,España,De 55 y más años,2023T3,10.79,2023,3
Todos,España,De 55 y más años,2023T2,11.04,2023,2
Todos,España,De 55 y más años,2023T1,11.79,2023,1
Todos,España,De 55 y más años,2022T4,11.1,2022,4
Todos,España,De 55 y más años,2022T3,10.5,2022,3
Todos,España,De 55 y más años,2022T2,11.75,2022,2
Todos,España,De 55 y más años,2022T1,12.2,2022,1
Todos,España,De 55 y más años,2021T4,12.24,2021,4
Todos,España,De 55 y más años,2021T3,13.82,2021,3
Todos,España,De 55 y más años,2021T2,12.7,2021,2
Todos,España,De 55 y más años,2021T1,12.67,2021,1
Todos,Andalucia,Todos,2025T2,14.85,2025,2
Todos,Andalucia,Todos,2025T1,16.14,2025,1
