Comunidades Autónomas;Conceptos demográficos en el trimestre actual;Conceptos demográficos en el trimestre anterior;Periodo;Total
Total Nacional;Total;No detectadas;2022T4;105.947
Total Nacional;Total;No detectadas;2022T3;85.987
Total Nacional;Total;No detectadas;2022T2;116.561
Total Nacional;Total;No detectadas;2022T1;105.771
Total Nacional;Total;No detectadas;2021T4;103.494
Total Nacional;Total;No detectadas;2021T3;91.088
Total Nacional;Total;No detectadas;2021T2;119.401
Total Nacional;Total;No detectadas;2021T1;100.739
Total Nacional;Total;No detectadas;2020T4;101.458
Total Nacional;Total;No detectadas;2020T3;97.476
Total Nacional;Total;No detectadas;2020T2;63.733
Total Nacional;Total;No detectadas;2020T1;130.893
Total Nacional;Total;Altas;2022T4;85.987
Total Nacional;Total;Altas;2022T3;116.561
Total Nacional;Total;Altas;2022T2;105.771
Total Nacional;Total;Altas;2022T1;103.494
Total Nacional;Total;Altas;2021T4;91.088
Total Nacional;Total;Altas;2021T3;119.401
Total Nacional;Total;Altas;2021T2;100.739
Total Nacional;Total;Altas;2021T1;101.458
Total Nacional;Total;Altas;2020T4;97.476
Total Nacional;Total;Altas;2020T3;63.733
Total Nacional;Total;Altas;2020T2;130.893
Total Nacional;Total;Altas;2020T1;""
Total Nacional;Total;Permanencias;2022T4;2.940.248
Total Nacional;Total;Permanencias;2022T3;2.923.775
Total Nacional;Total;Permanencias;2022T2;2.916.799
Total Nacional;Total;Permanencias;2022T1;2.909.698
Total Nacional;Total;Permanencias;2021T4;2.925.120
Total Nacional;Total;Permanencias;2021T3;2.898.267
Total Nacional;Total;Permanencias;2021T2;2.884.077
Total Nacional;Total;Permanencias;2021T1;2.856.926
Total Nacional;Total;Permanencias;2020T4;2.860.164
Total Nacional;Total;Permanencias;2020T3;2.872.111
Total Nacional;Total;Permanencias;2020T2;2.807.861
Total Nacional;Total;Permanencias;2020T1;""
Total Nacional;Total;Reactivaciones;2022T4;8.605
Total Nacional;Total;Reactivaciones;2022T3;6.435
Total Nacional;Total;Reactivaciones;2022T2;9.296
Total Nacional;Total;Reactivaciones;2022T1;6.473
Total Nacional;Total;Reactivaciones;2021T4;6.611
Total Nacional;Total;Reactivaciones;2021T3;5.187
Total Nacional;Total;Reactivaciones;2021T2;8.595
Total Nacional;Total;Reactivaciones;2021T1;5.857
Total Nacional;Total;Reactivaciones;2020T4;5.465
Total Nacional;Total;Reactivaciones;2020T3;26.555
Total Nacional;Total;Reactivaciones;2020T2;""
Total Nacional;Total;Reactivaciones;2020T1;""
Total Nacional;Total;Bajas;2022T4;106.523
Total Nacional;Total;Bajas;2022T3;108.091
Total Nacional;Total;Bajas;2022T2;102.866
Total Nacional;Total;Bajas;2022T1;113.121
Total Nacional;Total;Bajas;2021T4;97.735
