Comunidades y Ciudades Autónomas;Subgrupos;Tipo de dato;Periodo;Total
Nacional;011 Alimentos;Media anual;2024;129,249
Nacional;011 Alimentos;Media anual;2023;124,887
Nacional;011 Alimentos;Media anual;2022;111,89
Nacional;011 Alimentos;Media anual;2021;100
Nacional;011 Alimentos;Media anual;2020;98,4
Nacional;011 Alimentos;Media anual;2019;96,092
Nacional;011 Alimentos;Media anual;2018;95,129
Nacional;011 Alimentos;Media anual;2017;93,63
Nacional;011 Alimentos;Media anual;2016;92,464
Nacional;011 Alimentos;Media anual;2015;91,177
Nacional;011 Alimentos;Media anual;2014;90,1
Nacional;011 Alimentos;Media anual;2013;90,415
Nacional;011 Alimentos;Media anual;2012;87,878
Nacional;011 Alimentos;Media anual;2011;85,9
Nacional;011 Alimentos;Media anual;2010;84,233
Nacional;011 Alimentos;Media anual;2009;84,898
Nacional;011 Alimentos;Media anual;2008;85,983
Nacional;011 Alimentos;Media anual;2007;81,165
Nacional;011 Alimentos;Media anual;2006;78,25
Nacional;011 Alimentos;Media anual;2005;75,115
Nacional;011 Alimentos;Media anual;2004;72,745
Nacional;011 Alimentos;Media anual;2003;69,948
Nacional;011 Alimentos;Media anual;2002;67,182
Nacional;011 Alimentos;Variación de las medias anuales;2024;3,5
Nacional;011 Alimentos;Variación de las medias anuales;2023;11,6
Nacional;011 Alimentos;Variación de las medias anuales;2022;11,9
Nacional;011 Alimentos;Variación de las medias anuales;2021;1,6
Nacional;011 Alimentos;Variación de las medias anuales;2020;2,4
Nacional;011 Alimentos;Variación de las medias anuales;2019;1
Nacional;011 Alimentos;Variación de las medias anuales;2018;1,6
Nacional;011 Alimentos;Variación de las medias anuales;2017;1,3
Nacional;011 Alimentos;Variación de las medias anuales;2016;1,4
Nacional;011 Alimentos;Variación de las medias anuales;2015;1,2
Nacional;011 Alimentos;Variación de las medias anuales;2014;-0,3
Nacional;011 Alimentos;Variación de las medias anuales;2013;2,9
Nacional;011 Alimentos;Variación de las medias anuales;2012;2,3
Nacional;011 Alimentos;Variación de las medias anuales;2011;2
Nacional;011 Alimentos;Variación de las medias anuales;2010;-0,8
Nacional;011 Alimentos;Variación de las medias anuales;2009;-1,3
Nacional;011 Alimentos;Variación de las medias anuales;2008;5,9
Nacional;011 Alimentos;Variación de las medias anuales;2007;3,7
Nacional;011 Alimentos;Variación de las medias anuales;2006;4,2
Nacional;011 Alimentos;Variación de las medias anuales;2005;3,3
Nacional;011 Alimentos;Variación de las medias anuales;2004;4
Nacional;011 Alimentos;Variación de las medias anuales;2003;4,1
Nacional;011 Alimentos;Variación de las medias anuales;2002;""
Nacional;012 Bebidas no alcohólicas;Media anual;2024;126,246
Nacional;012 Bebidas no alcohólicas;Media anual;2023;121,103
Nacional;012 Bebidas no alcohólicas;Media anual;2022;108,259
Nacional;012 Bebidas no alcohólicas;Media anual;2021;100
Nacional;012 Bebidas no alcohólicas;Media anual;2020;95,253
Nacional;012 Bebidas no alcohólicas;Media anual;2019;93,625
Nacional;012 Bebidas no alcohólicas;Media anual;2018;92,402
Nacional;012 Bebidas no alcohólicas;Media anual;2017;90,361
Nacional;012 Bebidas no alcohólicas;Media anual;2016;89,682
Nacional;012 Bebidas no alcohólicas;Media anual;2015;88,596
Nacional;012 Bebidas no alcohólicas;Media anual;2014;87,853
Nacional;012 Bebidas no alcohólicas;Media anual;2013;88,17
Nacional;012 Bebidas no alcohólicas;Media anual;2012;87,114
Nacional;012 Bebidas no alcohólicas;Media anual;2011;84,817
Nacional;012 Bebidas no alcohólicas;Media anual;2010;82,186
Nacional;012 Bebidas no alcohólicas;Media anual;2009;83,589
Nacional;012 Bebidas no alcohólicas;Media anual;2008;81,536
Nacional;012 Bebidas no alcohólicas;Media anual;2007;77,729
Nacional;012 Bebidas no alcohólicas;Media anual;2006;75,383
Nacional;012 Bebidas no alcohólicas;Media anual;2005;73,145
